ns1:org_name_short,ns1:inn
"ООО ""РАДИО НОСТАЛЬЖИ - ОРЕНБУРГ""",5610044992
"ООО ""ТЕЛЕРАДИОКОМПАНИЯ ""ЮГ""",2304071430
"ООО ""Полярная звезда""",1435154953
"ООО ""ВАЛЕНТИНА-1""",6319071085
"ООО ""ИЖЕВСКИЕ ТЕХНОЛОГИИ""",1831041255
"ООО ""ПЕРВОЕ ГОРОДСКОЕ ТВ""",3327824629
"ООО ""МОЙ МИР""",7719494873
"ООО ""РАДИО НОСТАЛЬЖИ СПБ""",7816657594
"ООО ""БАЛТИКМЕДИА""",7816513521
"ООО ""МЕДИА-КОНТЕНТ""",7713732264
"ООО ""ЕВРОПЕЙСКОЕ МУЗЫКАЛЬНОЕ ВЕЩАНИЕ""",7717626228
"ООО ""ДО МАЖОР""",8904046780
"ООО ""СРЦ""",6367361690
"ООО ""РАДИОСТАНЦИЯ ""СТИЛЬ ФМ""",6671036422
"ООО ""ПРАГМА""",4205372550
"ООО ""КОННЕКТ""",7723755133
"ООО ""ТВБ""",0278061623
"ООО ""РАДИО МЕГАХИТ""",6311152293
"ООО ""МЕДИА НОВОСТИ""",6660128103
"ООО ""МАКРОМЕДИА""",6658151850
"ООО ""СТЕПС""",2308025820
"МБУ ТРК ""НЕСВЕТАЙ""",6151001060
"ООО ""ЮЖНО-УРАЛЬСКАЯ ВЕЩАТЕЛЬНАЯ КОМПАНИЯ""",7451195732
"ООО ""РЕКЛАМНОЕ АГЕНТСТВО ""АСТРА""",7451057919
"ООО ""ФЭШНТВ""",7709753617
"ООО ""КАЛУГА ФМ""",4027081893
"ООО ""ВОЛГА ФМ""",6450922422
"ООО ""РАДИО БУЛГАР""",0276030997
"ООО ""МЕДИА ТЕЛЕКОМ""",4708018500
"ООО ""ПОКОЛЕНИЕ NEXT""",0264052925
"ООО ""ТРИО ПЛЮС""",1650070141
"ООО ""ТЕЛЕРАДИОКОМПАНИЯ ""ПРОФИТ""",0277065978
"ООО ""ИНФО-СТРЕЖЕВОЙ""",7022014514
"ООО ""РАДИО 101,7""",2904017548
"ООО""СПЕКТР-45""",1435002929
"ООО ""АРКОМ""",0326004018
"ООО ""ПЕРСПЕКТИВА""",2904017530
"ООО ТК ""ИНТЕГРАЛ-ТВ""",1434007762
"ООО ""ДЖИМДЖЭМ ВОСТОК""",7713691427
"ООО ""РУССКОЕ РАДИО ИВАНОВО""",3730013181
"ООО ""КСТС""",2634078307
"АО ""ТРК ""НОВЫЙ ВЕК""",1653021456
"АО ""ТВК""",1701027891
"ООО ""РАДИО ПЛЮС""",0245008286
"ООО ""СЕТИ КАБЕЛЬНОГО ТЕЛЕВИДЕНИЯ""",7424006601
"АО ""ТЕЛЕКОМПАНИЯ ""СТРИМ""",7702634258
"ООО ""ГОСТ""",6143012679
"ООО ""ВЕРИСЕЛИНТЕЛ""",7701257448
"ООО ""КИНОМАНИЯ. ТВ""",7707577998
"АО ""ФЕНИКС-Т""",7743342631
"АО ""ПЕРВЫЙ ТВЧ""",7801418459
"АНО ""ТВ-НОВОСТИ""",7704552473
